Participant,BestDecay,BestOrder,BestSmooth,BestPosterior,MeanDecay,MeanOrder,MeanSmooth,VarianceDecay,VarianceOrder,VarianceSmooth,MedianDecay,MedianOrder,MedianSmooth,BayesFactor_Best_vs_Null,BayesFactor_Shannon_vs_Markov,BayesFactor_Total_vs_Null,posterior_Null,posterior_0_order
1,0.1,2,0.4,0.2858547098940212,0.10566905052511473,2.0007661768460383,0.4698422523163376,0.0005743728642421398,0.0007655909500048324,0.019604116609840072,0.1,2,0.5,9.552242871744324e+35,8.535233466065167e+28,2.6106583118105685e+30,2.394032176376785e-34,5.896946909904446e-177
2,0.4,1,1.0,0.037017088271876365,0.544269434330271,1.0003582395168966,0.7370719523841248,0.05230610277637229,0.00035944042300627165,0.056518598340350244,0.5,1,0.8,176262527152719.75,169799705215.1878,3720041358.3761063,1.680088847917335e-13,4.2238007690959015e-180
3,0.1,6,0.5,0.3722728264088844,0.10867227812629207,6.020366860167744,0.5222775732294226,0.0009884645647558364,0.021089088019197753,0.010649898157681524,0.1,6,0.5,1.5947195862141673e+65,1.6191420719052154e+58,3.346671012085684e+59,1.8675274556207227e-63,3.984929596449344e-177
4,0.1,5,0.9,0.20019685898916836,0.13796921053122618,5.078744294251471,0.8717572466186377,0.006130411668323167,0.12506136884942637,0.012897660863853,0.1,5,0.9,6.449125695905692e+50,7.403054418960542e+43,2.5167125375323316e+45,2.4833984441179782e-49,6.554133140957508e-177
5,0.1,4,1.0,0.37998161533254005,0.14809005620229662,3.9666502032354645,0.9393274523752857,0.006017940106421823,0.06554163157472537,0.008155581607546052,0.1,4,1.0,6.294025861814952e+32,8.149625860945962e+30,1.294064635269167e+27,4.829743298486774e-31,3.061335206767689e-182
6,0.1,3,1.0,0.528677308752309,0.1463300074663097,3.0018192378370245,0.975584677246239,0.005999355817042323,0.003072688344043579,0.0025454654022716424,0.1,3,1.0,7.861551607598086e+20,4.6751343644687896e+16,1161736486843152.0,5.379877511623526e-19,4.790778821564439e-180
7,1.0,1,1.0,0.10542798766331539,0.8288547047411339,0.9197134467522984,0.7393414046181884,0.017359956326801502,0.011817828335135793,0.043540206980011195,0.9,1,0.9,1150.268434146082,132.09546700968073,0.007898801260880174,0.07332409342630103,1.144169880268592e-182
8,0.5,2,0.7,0.0279945261195488,0.570726195864092,2.126670659144126,0.731761340038757,0.03929220037943539,0.11062531493768804,0.044297762289044036,0.6,2,0.8,4.0935721845491557e+21,537406864812496.25,1.1424030739158565e+17,5.4709236544476805e-21,4.098347143734368e-176
9,1.0,0,1.0,0.02786684597194186,0.48088171501453825,8.57618364824212e-17,0.3390725124157587,0.0955968204787736,1.371592334327801e-16,0.08590545054529646,1.0,0,1.0,49.487255465287745,1.0930295541957404e-16,0.0007623804868761741,0.4504892536057286,1.4698207040717605e-181
10,0.2,2,1.0,0.0850125825488896,0.3328051795326556,2.000403676670041,0.8676006161727549,0.03580202211395881,0.00046182857471101295,0.0183893436557804,0.3,2,0.9,2.521056428081113e+19,1.1840513316612927e+20,231680449574120.03,2.6976812292486894e-18,3.772345356016055e-184
11,0.2,1,0.4,0.12423521145087567,0.1689320514008628,0.9999999998966698,0.5040526033742744,0.003812137547927979,1.0333073731543435e-10,0.03188017465143487,0.2,1,0.5,2.3812461451333396e+18,9677683104.18047,14974406443708.035,4.1737881387787075e-17,2.9831205807926614e-175
12,1.0,0,1.0,0.028715997020751925,0.2686227902602698,5.1389870257581864e-09,0.17385916292953746,0.13631236189054188,5.1390030502182134e-09,0.07839129314628573,0,0,0,31.824701524021297,1.8475853020132652e-08,0.00024082569456578812,0.7218542992229373,4.642964917107603e-182
13,0.1,3,1.0,0.22377628831501847,0.215581626455958,2.749911656567852,0.8149452216080584,0.031132370009276718,0.18754604387388837,0.043616037277635786,0.1,3,0.9,2.6202628972388764e+28,4.340840351413212e+27,9.147887847644157e+22,6.832178207792038e-27,4.062932494735713e-183
14,0.1,6,0.5,0.2976392861945744,0.104838055189809,6.214789212270845,0.5163815282795062,0.0005713179796896786,0.17000810124289673,0.012008948908699942,0.1,6,0.5,8.015576660857218e+72,2.3602126046825803e+64,2.103945801765214e+67,2.970608841138511e-71,1.7186047638977692e-175
15,0.1,4,0.5,0.22124704506012022,0.15622254786490355,4.116073830571348,0.5595956559389286,0.008440297854802693,0.10262121959083903,0.016705564648635114,0.1,4,0.5,1.50611131389528e+61,6.016141621165829e+52,5.318260696593494e+55,1.175196244893243e-59,1.704292605802445e-175
16,0.2,4,1.0,0.16023841021004362,0.24655268932300323,3.996796755413658,0.9354118053379258,0.019939165059546966,0.0032218669228582645,0.006614825516694183,0.2,4,1.0,2.9710740893871623e+35,4.1274624586922394e+24,1.448561321402966e+30,4.314625765339852e-34,6.766223536530535e-173
17,0.5,2,1.0,0.10017876757631008,0.5356626991987833,1.9483219708245365,0.927290773461506,0.048651628734582876,0.05016718683827453,0.01555687930456945,0.5,2,1.0,1716885471247.593,1386269981983.7065,13389232.137716582,4.667930121326689e-11,1.862089026032917e-183
18,0.1,2,1.0,0.45210397638181826,0.13126805070242076,2.0000022989109043,0.943696535983081,0.003451318179468126,3.1973026925730613e-06,0.006536684179022462,0.1,2,1.0,5.224104794896375e+18,460572732814741.8,9027418656379.96,6.923352331270164e-17,3.778835176395247e-180
19,0.4,2,1.0,0.10004245376891988,0.48803291341202626,2.012712300911347,0.950451536382236,0.05622979449345347,0.016833996522466012,0.006359840371652585,0.5,2,1.0,110423114790.78769,5.856692702269412e+17,862314.4986731348,7.247935648869498e-10,2.838610725829441e-190
20,0.1,2,1.0,0.2413423451446363,0.1774781851657414,2.0000034764512744,0.9053088543711267,0.009566075737813515,4.4363270855796425e-06,0.01185770147956047,0.1,2,0.9,1.3581755700216547e+19,5.725706403381249e+17,43965540462595.4,1.421567876623128e-17,1.4803892742837641e-182
21,0.1,4,1.0,0.2999593631005402,0.19978917550008082,3.924984375343415,0.9490214609201914,0.015180649340060326,0.11298775044511238,0.008800683197309023,0.2,4,1.0,3.0044383976019307e+28,6.928723093126243e+23,7.82511828890559e+22,7.987099707951021e-27,2.1773602734878255e-179
22,0.1,2,0.7,0.2104305499832254,0.10398338340575743,1.9960485040625275,0.7028754647313604,0.00042206431705875137,0.015457587377197834,0.028014655724615006,0.1,2,0.7,9.790134575874635e+28,7.859915754612786e+23,3.63471113771825e+23,1.719531418918628e-27,8.915477313666893e-179
23,0.9,1,1.0,0.0338965252050999,0.7893049430827429,1.0034763214450704,0.6930623584615514,0.03181461566589954,0.003464320055015549,0.06398432647875842,0.8,1,0.7,6639958270.249714,8249142514.752592,153038.32313368752,4.083944365370251e-09,3.5767120700133546e-183
24,0.3,2,0.6,0.043190329380905695,0.37688244959661393,2.000000001761233,0.6549128647572136,0.02790095256767942,2.968569474070128e-09,0.04100005603431197,0.4,2,0.7,1.4412621368580959e+25,6.528671626119161e+23,2.6070327792364116e+20,2.3973614945611043e-24,7.698644310454765e-182
25,1.0,0,1.0,0.00039724510963162925,0.00397989982448976,6.878455247391493e-09,0.002675383389592283,0.003771744430135819,6.878455152964897e-09,0.0020157186678539545,0,0,0,0.3191346588120809,1.6399256321192487e-06,2.63252750459203e-06,0.9958056228936083,5.075335939823344e-184
26,0.1,6,0.5,0.09658291765333804,0.17484093572437936,5.638898556009712,0.5174562969238471,0.01327930231155424,0.761853146967635,0.01963788438376281,0.1,6,0.5,3.4274398997811385e+71,7.472511789245078e+62,2.7724234127146073e+66,2.2543454117927588e-70,7.152955734529267e-175
